ECG	Heart Rate
-0.124207	0
-0.125427	0
-0.126343	0
-0.126953	0
-0.127258	0
-0.127258	0
-0.126648	0
-0.126038	0
-0.125427	0
-0.124817	0
-0.124207	0
-0.123901	0
-0.123596	0
-0.123596	0
-0.124207	0
-0.124512	0
-0.125427	0
-0.125732	0
-0.126038	0
-0.126038	0
-0.126038	0
-0.126343	0
-0.127258	0
-0.128479	0
-0.130005	0
-0.131531	0
-0.132446	0
-0.133362	0
-0.133667	0
-0.133667	0
-0.133057	0
-0.132446	0
-0.131836	0
-0.131226	0
-0.130615	0
-0.130005	0
-0.129395	0
-0.128784	0
-0.128174	0
-0.127869	0
-0.127258	0
-0.127563	0
-0.127869	0
-0.128479	0
-0.129395	0
-0.130005	0
-0.130005	0
-0.130005	0
-0.129089	0
-0.128479	0
-0.127869	0
-0.127563	0
-0.127869	0
-0.128479	0
-0.129089	0
-0.1297	0
-0.130615	0
-0.131836	0
-0.133667	0
-0.136108	0
-0.13916	0
-0.143127	0
-0.1474	0
-0.151672	0
-0.15564	0
-0.159607	0
-0.162964	0
-0.166016	0
-0.169067	0
-0.171509	0
-0.17395	0
-0.176086	0
-0.177612	0
-0.178223	0
-0.177307	0
-0.17334	0
-0.166016	0
-0.155334	0
-0.140991	0
-0.123596	0
-0.102539	0
-0.0775146	0
-0.0485229	0
-0.0152588	0
0.0219727	0
0.0634766	0
0.108337	0
0.15625	0
0.206909	0
0.260315	0
0.316772	0
0.375366	0
0.435791	0
0.496521	0
0.556946	0
0.615234	0
0.670471	0
0.721436	0
0.766296	0
0.803528	0
0.832214	0
0.852051	0
0.862122	0
0.863037	0
0.854492	0
0.836487	0
0.809631	0
0.774231	0
0.730286	0
0.679016	0
0.621033	0
0.557556	0
0.489502	0
0.418396	0
0.346069	0
0.273743	0
0.202332	0
0.133057	65.6455
0.0674438	65.6455
0.00701904	65.6455
-0.0476074	65.6455
-0.09552	65.6455
-0.137024	65.6455
-0.171509	65.6455
-0.199585	65.6455
-0.221252	65.6455
-0.237122	65.6455
-0.247498	65.6455
-0.252991	65.6455
-0.253906	65.6455
-0.251465	65.6455
-0.246582	65.6455
-0.239868	65.6455
-0.232239	65.6455
-0.224304	65.6455
-0.21637	65.6455
-0.20813	65.6455
-0.199585	65.6455
-0.189819	65.6455
-0.179138	65.6455
-0.168152	65.6455
-0.157166	65.6455
-0.147095	65.6455
-0.138245	65.6455
-0.13092	65.6455
-0.125427	65.6455
-0.12085	65.6455
-0.116882	65.6455
-0.11322	65.6455
-0.109253	65.6455
-0.105286	65.6455
-0.101624	65.6455
-0.0982666	65.6455
-0.09552	65.6455
-0.093689	65.6455
-0.0924683	65.6455
-0.0918579	65.6455
-0.0918579	65.6455
-0.0918579	65.6455
-0.0921631	65.6455
-0.0930786	65.6455
-0.0939941	65.6455
-0.09552	65.6455
-0.0976563	65.6455
-0.100403	65.6455
-0.103455	65.6455
-0.106812	65.6455
-0.110168	65.6455
-0.11322	65.6455
-0.114746	65.6455
-0.115051	65.6455
-0.114441	65.6455
-0.112915	65.6455
-0.111084	65.6455
-0.108948	65.6455
