ECG	Heart Rate
-0.020752	130.719
-0.0216675	130.719
-0.0234985	130.719
-0.0259399	130.719
-0.0286865	130.719
-0.0317383	130.719
-0.0357056	130.719
-0.0402832	130.719
-0.0457764	130.719
-0.0524902	130.719
-0.0601196	130.719
-0.0680542	130.719
-0.0762939	130.719
-0.085144	130.719
-0.0939941	130.719
-0.103455	130.719
-0.112915	130.719
-0.122681	130.719
-0.132141	130.719
-0.141296	130.719
-0.150452	130.719
-0.159912	130.719
-0.169067	130.719
-0.178223	130.719
-0.186768	130.719
-0.195007	130.719
-0.202637	130.719
-0.209656	130.719
-0.216064	130.719
-0.221863	130.719
-0.227051	130.719
-0.231323	130.719
-0.235291	130.719
-0.238342	130.719
-0.241394	130.719
-0.24353	130.719
-0.245361	130.719
-0.246582	130.719
-0.247803	130.719
-0.248718	130.719
-0.249634	130.719
-0.250854	130.719
-0.25238	130.719
-0.253906	130.719
-0.255432	130.719
-0.256653	130.719
-0.257874	130.719
-0.259094	130.719
-0.26001	130.719
-0.26062	130.719
